document,total_words,unique_words,top_words,top_tfidf,avg_tfidf
Bai_Khem_Phu_Quoc__Kinh_nghiem_du_lich_kham_pha_chi_tiet_tu_A_-_Z.txt,2008,736,"bãi, quốc, phú, biển, là, khem, các, có, của, du_lịch","khem, bãi, quốc, phú, biển",0.00246686355092423
Ban_Ta_Phin_-_Vung_at_Van_Hoa_oc_ao_O_Lao_Cai_-_Du_Lich_Okela.txt,2087,644,"du_lịch, tả, phìn, và, của, châu, những, là, đến, bắc","du_lịch, phìn, tả, châu, phi_du_lịch",0.0020199882435406754
"Bao_tang_Lich_su_Thanh_pho_Ho_Chi_Minh_ia_chi,_Gia_ve,_Luu_y__Xanh_SM.txt",1743,665,"bảo_tàng, của, lịch_sử, và, các, hiện_vật, là, những, này, hồ","bảo_tàng, hiện_vật, lịch_sử, trưng_bày, của",0.0027785349284071463
Ba_Na__Wikipedia_tieng_Viet.txt,5185,1599,"bà, nà, và, được, là, có, của, núi, cáp, năm","nà, bà, cáp, treo, và",0.003554393132920513
Ben_Ninh_Kieu_Can_Tho_Review_chi_tiet_tu_A_-_Z.txt,2609,833,"và, cần, thơ, ninh, kiều, bến, với, của, bạn, các","kiều, thơ, bến, ninh, cần",0.002992946850848175
Bien_Ca_Na_Bai_bien_ep_nen_tho_cua_Phan_Rang.txt,1945,584,"biển, bạn, những, một, là, cà, ná, du_lịch, đến, để","ná, cà_ná, biển, cà, thuận",0.00201290722862168
Bien_Cua_ai_Hoi_An_-_An_tuong_mot_trong_25_bai_bien_ep_nhat_Chau_A.txt,1688,657,"biển, bạn, đến, cửa, an, những, với, hội, được, đại","biển, cửa, 000000, an, bạn",0.003300550182707168
Bien_Ho_Coc_Kinh_nghiem_du_lich_chi_tiet_nam_2025.txt,2446,876,"bạn, biển, vnd, có, hồ_cốc, ở, với, hồ, là, vũng_tàu","hồ_cốc, vnd, vũng_tàu, cốc, biển",0.0029803409118190132
"Bien_Ho_Coc_Vung_Tau__iem_du_lich,_nghi_duong_ly_tuong.txt",2917,873,"vũng_tàu, cốc, biển_hồ, bạn, biển, là, và, được, những, bãi","vũng_tàu, biển_hồ, cốc, hồ_cốc, biển",0.0028189104830041306
Bo_tui_kinh_nghiem_du_lich_ao_Ngoc_Vung_chi_tiet_nhat.txt,1663,621,"đảo, ngọc, đến, vừng, bạn, và, là, được, những, thì","vừng, đảo, ngọc, quảng_ninh, traveloka",0.002583910240913977
Bo_tui_ngay_cam_nang_du_lich_Ben_Ninh_Kieu_-_Can_Tho.txt,1117,489,"ninh, kiều, bến, bạn, là, và, cần, thơ, một, du_lịch","kiều, ninh, bến, thơ, ninh_kiều",0.0024918948059539157
Cam_nang_du_lich_ai_Lai.txt,1213,512,"du_lịch, lải, đến, đại, hồ, các, và, có, là, phúc","lải, đại, phúc, flamingo, vĩnh",0.0027470860838409686
Cam_nang_du_lich_ak_LaK.txt,3155,1015,"là, của, và, có, buôn, ở, lăk, voi, đến, bạn","lăk, buôn, voi, đăk, dray",0.00317509873480205
Cam_nang_du_lich_ak_Nong.txt,3494,1136,"đăk, được, và, nông, là, của, với, có, những, các","đăk, nông, được, và, là",0.003224838873815618
Cam_nang_du_lich_An_Giang.txt,1749,668,"và, núi, đến, là, an, ở, giang, mùa, có, châu_đốc","châu_đốc, núi, sam, an_giang, an",0.003435655429204227
Cam_nang_du_lich_a_Lat.txt,1621,771,"đà, lạt, ở, đến, là, với, từ, du_khách, điểm, và","lạt, đà, đà_lạt, đến, du_khách",0.0031919138807813287
Cam_nang_du_lich_a_Nang.txt,5275,1542,"đà_nẵng, và, là, đến, từ, có, với, các, một, ở","đà_nẵng, là, và, sơn_trà, đến",0.004488195135734479
Cam_nang_du_lich_Bac_Giang.txt,2438,953,"và, bắc, là, có, giang, được, chùa, ở, từ, với","giang, bắc_giang, chùa, bắc, lục",0.0038451991569448
Cam_nang_du_lich_Bac_Kan.txt,2193,856,"bắc, ba, hồ, bể, kạn, có, và, là, ở, các","kạn, bể, bắc, ba, hồ",0.0031585076543534174
Cam_nang_du_lich_Bac_Lieu.txt,2493,960,"bạc, liêu, và, là, của, đến, từ, với, đồng, du_khách","liêu, bạc, công_tử, bồn, ba_khía",0.003215159174777091
Cam_nang_du_lich_Bac_Ninh.txt,2291,892,"bắc, ninh, là, của, đến, được, làng, và, có, chùa","bắc, ninh, diềm, làng, đình",0.0036732036867601924
Cam_nang_du_lich_Bao_Loc.txt,2152,784,"lộc, bảo, là, và, với, có, đồng, du_khách, thành_phố, ở","lộc, bảo, dambri, chè, là",0.0029624758967558245
Cam_nang_du_lich_Ba_Na_Hills.txt,2666,925,"bà, nà, các, và, đến, từ, du_khách, với, trong, ở","nà, hills, bà, cáp, treo",0.0032207669392275186
Cam_nang_du_lich_Ba_Ria_-_Vung_Tau.txt,3972,1258,"là, đến, với, của, và, vũng_tàu, biển, được, từ, người","vũng_tàu, rịa, là, biển, đến",0.004197207969346156
Cam_nang_du_lich_Ba_Vi.txt,3129,1039,"ba, vì, khu, và, là, ở, đồng, du_lịch, các, 000","vì, ba, khu, mô, 000",0.003904649370333052
Cam_nang_du_lich_Ben_Tre.txt,1954,762,"tre, bến, dừa, và, là, với, có_thể, được, ở, du_khách","dừa, tre, bến, cồn, và",0.003406983379201882
Cam_nang_du_lich_Binh_Ba.txt,2391,811,"đảo, bình, ba, ở, bạn, là, biển, trên, bãi, có","đảo, ba, bình, tôm_hùm, bãi",0.0033269446803093614
Cam_nang_du_lich_Binh_Duong.txt,3463,1180,"là, và, được, bình, có, với, dương, của, từ, đây","măng_cụt, dương, dầu, là, bình",0.004149288920703911
Cam_nang_du_lich_Binh_inh.txt,3366,1078,"và, nhơn, đến, quy, có, là, bình, định, từ, một","nhơn, quy, định, và, đến",0.003493311123878011
Cam_nang_du_lich_Binh_Lieu.txt,1882,734,"bình, liêu, là, đi, ở, đến, núi, và, bạn, một","liêu, bình, mốc, quảng_ninh, cột",0.0030768926619286763
Cam_nang_du_lich_Binh_Phuoc.txt,2974,1009,"là, và, bình, phước, được, với, có, đến, những, của","phước, bù, bình, là, và",0.0037067655816541653
Cam_nang_du_lich_Binh_Thuan.txt,2308,852,"và, là, có, mũi, đến, nhiều, các, biển, từ, né","né, mũi, bình_thuận, phan_thiết, phú_quý",0.003548558823880185
Cam_nang_du_lich_Buon_Ma_Thuot.txt,2943,1046,"buôn, ma, thuột, là, của, ở, cà_phê, có, và, được","buôn, thuột, ma, cà_phê, lăk",0.0032628031404061814
Cam_nang_du_lich_Can_Gio.txt,2050,787,"cần, giờ, là, rừng, và, khu, du_khách, có, tp, du_lịch","giờ, cần, sác, vàm, rừng",0.00350809813967021
Cam_nang_du_lich_Can_Tho.txt,3276,1075,"cần, thơ, là, đến, một, những, du_khách, và, ở, 000","thơ, cần, chợ_nổi, hủ_tiếu, là",0.003943076840239341
Cam_nang_du_lich_Cao_Bang.txt,3087,1033,"cao, bằng, là, có, bản, đến, và, thác, ở, từ","giốc, cao, bằng, thác, bản",0.003757846565839916
Cam_nang_du_lich_Cat_Ba.txt,2256,738,"cát, bà, đồng, 000, đến, từ, một, là, du_khách, đảo","cát, bà, phà, 000, đồng",0.0029410023492998363
Cam_nang_du_lich_Ca_Mau.txt,2730,950,"là, cà, mau, và, rừng, có, ở, các, cà_mau, đến","mau, cà, cà_mau, mũi, là",0.003618903025256832
Cam_nang_du_lich_Chau_oc.txt,2694,983,"là, và, châu_đốc, đến, các, của, cá, có, trong, được","châu_đốc, mắm, thốt_nốt, là, và",0.003734733079950563
Cam_nang_du_lich_Chua_Bai_inh.txt,2629,897,"chùa, là, bái, đính, và, có, m, ở, các, tượng","đính, bái, chùa, là, phật",0.002982215995885064
Cam_nang_du_lich_Chua_Tam_Chuc.txt,2004,737,"tam, chúc, chùa, điện, có, đến, là, du_lịch, và, từ","chúc, tam, chùa, điện, thủy_đình",0.0025590540195856953
Cam_nang_du_lich_Con_ao.txt,2526,900,"đảo, côn, là, biển, và, từ, đến, ở, hòn, đi","đảo, côn, biển, hòn, là",0.0028353329015042648
Cam_nang_du_lich_Co_To.txt,2368,849,"tô, cô, đảo, có, là, biển, bãi, ở, và, đi","tô, cô, đảo, biển, bãi",0.002819563289834347
Cam_nang_du_lich_Cu_Lao_Cham.txt,2246,813,"cù_lao, chàm, là, và, ở, được, có, đảo, các, bãi","chàm, cù_lao, đảo, bãi, là",0.002884377123922305
Cam_nang_du_lich_Cu_Lao_Xanh.txt,1468,658,"xanh, cù_lao, là, và, đảo, biển, có, được, ở, để","cù_lao, xanh, đảo, hải_đăng, biển",0.0029923233497084196
Cam_nang_du_lich_Dinh_oc_lap.txt,2554,792,"dinh, và, của, phòng, đến, là, trong, tham_quan, các, được","dinh, tổng_thống, độc_lập, phòng, 1975",0.0034847907176392104
Cam_nang_du_lich_en_Hung.txt,2803,914,"hùng, đền, 3, ngày, 4, và, tại, các, đến, tổ","hùng, đền, giỗ, thọ, tổ",0.0027327421112221893
Cam_nang_du_lich_Gia_Lai.txt,3354,1079,"là, và, lai, gia, có, được, pleiku, ở, đến, từ","pleiku, lai, gia, là, núi_lửa",0.0034362612140388282
Cam_nang_du_lich_Hai_Duong.txt,3310,1215,"là, hải_dương, và, có, ở, của, được, từ, chùa, còn","hải_dương, là, đậu_xanh, và, vải_thiều",0.0038553163936690363
Cam_nang_du_lich_Hai_Phong.txt,2504,948,"phòng, hải, các, và, từ, với, là, được, đồng, cát","hải, phòng, cát, các, và",0.0037538907238294475
Cam_nang_du_lich_Hau_Giang.txt,803,478,"xem, giang, hậu, thêm, ở, của, 2025, đến, ẩm_thực, nhiều","hậu, giang, xem, hậu_giang, thêm",0.0032610806710254804
Cam_nang_du_lich_Ha_Giang.txt,3403,1087,"là, hà_giang, đi, và, bạn, ở, từ, với, đường, đồng","hà_giang, mèo, vạc, là, đi",0.003932002270779839
Cam_nang_du_lich_Ha_Long.txt,3129,1111,"hạ_long, có, là, các, ở, và, ăn, 000, vịnh, đến","hạ_long, vịnh, có, ăn, 000",0.003858817264570605
Cam_nang_du_lich_Ha_Nam.txt,2361,897,"là, có, và, chùa, hà_nam, được, đến, từ, cá, nam","hà_nam, cá_rô, bánh_cuốn, kho, chùa",0.003664451659949407
Cam_nang_du_lich_Ha_Noi.txt,3899,1330,"là, hà_nội, ở, những, và, được, đến, bún, phố, của","hà_nội, bún, là, phố, ca_trù",0.004337017979583291
Cam_nang_du_lich_Ha_Tien.txt,2312,881,"và, hà_tiên, là, có, các, từ, du_khách, với, đến, được","hà_tiên, và, hải_tặc, hủ_tiếu, là",0.003419421586280518
Cam_nang_du_lich_Ha_Tinh.txt,2735,978,"hà_tĩnh, là, và, có, biển, đến, được, của, từ, đồng","hà_tĩnh, cầm, thiên, biển, là",0.003690853293198289
Cam_nang_du_lich_Hoa_Binh.txt,2423,893,"ở, và, hòa, bình, là, có, du_khách, đến, với, từ","hòa, bình, và, mai, du_khách",0.003956490331259209
Cam_nang_du_lich_Hoi_An.txt,2834,965,"an, hội, là, các, đồng, 000, ở, một, và, từ","hội, an, là, phố, 000",0.0033130407217901925
Cam_nang_du_lich_Ho_Ba_Be.txt,2072,728,"ba, hồ, bể, và, có, đến, được, là, bắc, từ","bể, ba, kạn, hồ, bắc",0.0029469644710314333
Cam_nang_du_lich_Hung_Yen.txt,559,368,"xem, thêm, hưng, yên, 2025, mới, của, sống, thế_giới, giáo_dục","hưng, xem, thêm, yên, giáo_dục",0.0031245719405288957
Cam_nang_du_lich_ia_oa_Cu_Chi.txt,2502,809,"địa_đạo, và, trong, củ, chi, được, của, các, đến, là","địa_đạo, củ, chi, đường_hầm, hầm",0.0031731524641921663
Cam_nang_du_lich_ien_Bien.txt,3656,1134,"điện, biên, là, và, được, của, phủ, ở, từ, đến","biên, điện, a1, mường, phủ",0.003149949461871891
Cam_nang_du_lich_Khanh_Hoa.txt,2687,917,"đến, là, trang, nha, và, có, biển, từ, khánh, với","nha, ranh, trang, lết, khánh",0.0034750552913273528
Cam_nang_du_lich_Kien_Giang.txt,2938,1005,"và, là, đảo, hòn, có, giá, các, với, rạch, nam","rạch, hòn, đảo, hà_tiên, kiên_giang",0.0036397640912292917
Cam_nang_du_lich_Kon_Tum.txt,2207,814,"kon, là, và, măng, tum, đen, của, có, được, đến","kon, tum, măng, đen, là",0.003079897642357779
Cam_nang_du_lich_Ky_Co.txt,1433,589,"co, kỳ, đi, nhơn, là, có, ở, biển, quy, để","co, nhơn, kỳ, quy, đi",0.002646255114511602
Cam_nang_du_lich_Lai_Chau.txt,2320,841,"lai, châu, là, và, có, trong, du_lịch, từ, với, đến","lai, châu, là, và, pu",0.0035777790096672172
Cam_nang_du_lich_Lang_Co.txt,1895,701,"cô, lăng, là, và, có, đẹp, hải, trong, từ, của","lăng, cô, đèo, vân, huế",0.0028311289424969867
Cam_nang_du_lich_Lang_Son.txt,3171,1079,"sơn, lạng, là, và, có, các, của, từ, trong, được","lạng, sơn, mẫu, là, và",0.0035440806616379096
Cam_nang_du_lich_Lao_Cai.txt,3016,964,"và, là, lào, cai, đến, có, các, từ, một, ở","cai, lào, tý, fansipan, và",0.003555510215753562
Cam_nang_du_lich_Long_An.txt,2431,891,"và, long, an, có, đến, đồng, du_lịch, là, của, du_khách","an, long, và, đồng, có",0.003831350966227969
Cam_nang_du_lich_Ly_Son.txt,2254,780,"đảo, sơn, lý, là, biển, và, có, 000, một, với","đảo, lý, sơn, bé, cảng",0.0030531100561408914
Cam_nang_du_lich_Mai_Chau.txt,1883,714,"mai, châu, là, ở, đồng, bạn, một, những, với, đến","mai, châu, là, đồng, mây",0.0032669851049609133
Cam_nang_du_lich_Mang_en.txt,1989,854,"măng, đen, là, được, ở, và, với, đến, có, các","măng, đen, kon, tum, là",0.0029484704726999533
Cam_nang_du_lich_Meo_Vac.txt,1595,651,"hà_giang, sông, mèo, vạc, và, nho, quế, đồng, đường, đến","vạc, mèo, nho, quế, hà_giang",0.0025239110794346245
Cam_nang_du_lich_Moc_Chau.txt,2773,871,"mộc, châu, có, là, đi, ở, một, bạn, đến, mùa","mộc, châu, mận, thác, đi",0.003126174260414335
Cam_nang_du_lich_Mui_Ne.txt,2374,861,"mũi, né, là, đến, được, và, du_khách, biển, ở, đây","né, mũi, phan_thiết, dông, rơm",0.0028126341800207145
Cam_nang_du_lich_Mui_Nghe.txt,1403,655,"nghê, đi, và, xem, bạn, mũi, du_lịch, không, có, thêm","nghê, mũi, đi, xem, đà_nẵng",0.003276990748220175
Cam_nang_du_lich_Mu_Cang_Chai.txt,2359,784,"mù, chải, cang, mùa, là, ở, có, du_khách, đi, đến","mù, cang, chải, tú, lệ",0.0026778962008768385
Cam_nang_du_lich_Nam_Du.txt,2020,674,"nam, du, đảo, hòn, là, có, và, bãi, từ, biển","du, hòn, đảo, nam, bãi",0.002796621158046792
Cam_nang_du_lich_Nam_inh.txt,2673,984,"nam, và, định, là, ở, được, có, một, các, của","xíu, định, nam, bánh, và",0.003568786402888311
Cam_nang_du_lich_Nghe_An.txt,2968,1053,"là, đến, vinh, đền, được, biển, nghệ_an, và, ở, có","vinh, nghệ_an, đền, quỳnh, lò",0.004107322774314184
Cam_nang_du_lich_Nha_Trang.txt,2729,971,"là, biển, nha, trang, ở, và, với, du_khách, 000, từ","nha, trang, biển, là, đảo",0.0037949270125202965
Cam_nang_du_lich_Ninh_Binh.txt,2323,878,"bình, ninh, du_khách, là, các, 000, đồng, và, có, được","ninh, bình, dê, du_khách, 000",0.0035168820373630985
Cam_nang_du_lich_Ninh_Chu.txt,460,299,"xem, thêm, ninh, chữ, 2025, sống, biển, giáo_dục, ảnh, nhiều","xem, chữ, diều, thêm, ninh",0.0027719165163191057
Cam_nang_du_lich_Ninh_Thuan.txt,2209,822,"ninh, thuận, và, là, có, được, ở, của, với, biển","thuận, ninh, rái, và, nho",0.0033988791342966632
Cam_nang_du_lich_Nui_Dinh.txt,1351,660,"và, xem, núi, suối, bạn, thêm, nhiều, những, vũng_tàu, có","vũng_tàu, rịa, dinh, la_bàn, suối",0.0037750151974433933
Cam_nang_du_lich_ong_Nai.txt,3062,1055,"đồng, và, là, đến, ở, các, được, với, du_lịch, nai","nai, đồng, biên, bưởi, và",0.003952378734755862
Cam_nang_du_lich_ong_Thap.txt,2695,930,"đồng, đến, là, tháp, có, hoa, từ, các, và, sen","đéc, cao_lãnh, tháp, sen, quýt",0.0034525811264876547
Cam_nang_du_lich_ong_Van.txt,3049,987,"là, đồng, có, văn, và, đến, ở, của, từ, được","hà_giang, văn, đồng, là, có",0.003842794241744067
Cam_nang_du_lich_Phan_Thiet.txt,1731,738,"phan_thiết, biển, ở, và, là, đến, từ, trong, của, có","phan_thiết, biển, né, mũi, bình_thuận",0.0025201314989902893
Cam_nang_du_lich_Pho_i_bo_ho_Guom.txt,2303,881,"hồ, các, phố, và, đi, bộ, hà_nội, hoàn, kiếm, 000","phố, kiếm, hoàn, hồ, cà_phê",0.003747148003659482
Cam_nang_du_lich_Pho_i_bo_Nguyen_He.txt,2116,804,"đi, bộ, các, phố, du_khách, đến, xe, và, tp, là","huệ, phố, chung_cư, bộ, đi",0.0035637248328961465
Cam_nang_du_lich_Phu_Quoc.txt,4351,1231,"quốc, phú, là, và, biển, đảo, có, các, đến, được","quốc, phú, biển, đảo, là",0.0037866856307848247
Cam_nang_du_lich_Phu_Quy.txt,2447,917,"đảo, phú_quý, bạn, là, và, người, một, đến, có, đi","phú_quý, đảo, bạn, tàu, là",0.002860990605826083
Cam_nang_du_lich_Phu_Tho.txt,1877,714,"hùng, thọ, ở, phú, đền, là, việt, du_khách, có, và","hùng, thọ, trì, đền, giỗ",0.0031506836751046866
Cam_nang_du_lich_Phu_Yen.txt,3782,1255,"và, phú, là, yên, đến, ở, có, được, tuy, một","phú, yên, tuy, và, là",0.004257197529348707
Cam_nang_du_lich_Pu_Luong.txt,1856,750,"luông, pù, và, ở, thanh_hóa, là, những, mùa, đến, bản","luông, pù, thanh_hóa, hiêu, vịt",0.0024123730807948324
Cam_nang_du_lich_Quang_Binh.txt,4319,1248,"và, có, là, trong, đồng, sông, được, hang, ở, từ","hới, quảng_bình, hang, sông, và",0.0038988767363342764
Cam_nang_du_lich_Quang_Nam.txt,2984,1059,"và, an, là, có, hội, đến, được, các, từ, quảng_nam","quảng_nam, an, hội, tam, hoi",0.003800332383446344
Cam_nang_du_lich_Quang_Ngai.txt,3470,1166,"và, quảng_ngãi, là, ở, có, đến, với, trong, được, biển","quảng_ngãi, don, và, là, biển",0.004017662869715477
Cam_nang_du_lich_Quang_Ninh.txt,4760,1381,"là, ở, và, có, quảng_ninh, các, của, đến, hạ_long, với","quảng_ninh, hạ_long, là, quảng_yên, và",0.004363780525321226
Cam_nang_du_lich_Quang_Tri.txt,5551,1480,"có, và, là, trong, được, ở, từ, đồng, của, sông","quảng_trị, hới, hang, có, và",0.00439381553511172
Cam_nang_du_lich_Quan_Lan.txt,1836,661,"quan, lạn, bãi, đảo, có, biển, là, bạn, và, đi","lạn, quan, bãi, đảo, biển",0.002102272172926552
Cam_nang_du_lich_Quy_Nhon.txt,2948,977,"nhơn, 000, quy, các, du_khách, một, và, là, từ, đến","nhơn, quy, 000, xép, du_khách",0.0034102063571947055
Cam_nang_du_lich_Sam_Son.txt,2159,843,"sơn, sầm, biển, và, là, người, có, thanh_hóa, để, các","sầm, sơn, biển, thanh_hóa, bãi_tắm",0.0030660362874842697
Cam_nang_du_lich_Sa_Pa.txt,3051,1002,"và, một, đến, pa, sa, là, bạn, đường, ở, 000","pa, sa, đèo, van, tả",0.0038358843467424996
Cam_nang_du_lich_Soc_Son.txt,1678,681,"sóc, sơn, là, hồ, 000, ở, đồng, bạn, núi, trại","sóc, trại, gióng, sơn, villa",0.003241071842914583
Cam_nang_du_lich_Soc_Trang.txt,2804,1074,"và, là, trăng, có, sóc, được, các, trong, từ, của","trăng, sóc, bánh, và, khmer",0.0038736063618919413
Cam_nang_du_lich_Son_La.txt,2517,930,"sơn, la, và, là, có, đến, với, ở, các, châu","la, sơn, tà_xùa, mộc, và",0.0036217448640414665
Cam_nang_du_lich_Tam_ao.txt,1837,743,"tam_đảo, là, với, và, bạn, để, du_lịch, đến, trong, ở","tam_đảo, su_su, thị_trấn, là, phúc",0.0031747136831664913
Cam_nang_du_lich_Tam_Coc_-_Bich_ong.txt,1819,777,"có, đồng, tam_cốc, là, những, lúa, ninh, xem, hang, đến","tam_cốc, lúa, hang, ninh, đò",0.0037779366736858827
Cam_nang_du_lich_Tay_Ninh.txt,2683,985,"và, tây, ninh, là, các, được, của, núi, du_khách, trong","ninh, tây, trảng, tòa_thánh, và",0.003936094941210631
Cam_nang_du_lich_Ta_Xua.txt,1941,731,"tà_xùa, là, ở, và, mây, có, các, một, từ, trong","tà_xùa, mỏm, mây, sống_lưng, là",0.0022720988061479216
Cam_nang_du_lich_Thai_Binh.txt,778,462,"xem, thái_bình, thêm, biển, ảnh, đến, bãi, đồng, với, 2025","thái_bình, xem, biển, thêm, vành",0.0032519300492220935
Cam_nang_du_lich_Thai_Nguyen.txt,3087,1063,"thái, của, nguyên, là, và, được, có, ở, trong, các","thái, nguyên, của, trám, chè",0.003985778733140786
Cam_nang_du_lich_Thanh_Hoa.txt,2979,1029,"thanh_hóa, là, và, có, được, các, với, từ, đến, ở","thanh_hóa, pù, luông, là, và",0.003862270512360844
Cam_nang_du_lich_Thua_Thien_Hue.txt,4542,1400,"huế, là, và, đến, có, từ, bạn, các, ở, trong","huế, là, lăng, và, vua",0.003957416700424766
Cam_nang_du_lich_Tien_Giang.txt,2621,1011,"và, tiền, ở, giang, đến, từ, là, tp, mỹ, tho","tho, hủ_tiếu, tiền, giang, mỹ",0.003702473385503885
Cam_nang_du_lich_TP_Ho_Chi_Minh.txt,4205,1344,"đến, và, là, các, từ, tp, hcm, có, trong, ở","hcm, đến, quận, tp, là",0.0043769540015202784
Cam_nang_du_lich_Tram_Tau.txt,2075,778,"trạm, tấu, là, có, với, đến, và, được, những, ở","tấu, trạm, tà_xùa, tà_chì, nhù",0.0027076333840933766
Cam_nang_du_lich_Tra_Su.txt,1590,611,"rừng, tràm, trà, sư, là, vào, nam, du_khách, việt, và","tràm, sư, trà, rừng, xuồng",0.0023852817184705426
Cam_nang_du_lich_Tra_Vinh.txt,3215,1109,"trà, vinh, và, là, các, đến, chùa, được, trong, của","vinh, trà, khmer, chùa, lễ",0.003326021159390453
Cam_nang_du_lich_Tuyen_Quang.txt,3079,1033,"là, và, tuyên, quang, của, được, có, hang, đến, thác","tuyên, quang, là, hang, na",0.0035147614341283226
Cam_nang_du_lich_Tu_Le.txt,1653,658,"tú, lệ, là, mùa, và, những, với, khau, có, để","tú, lệ, khau, phạ, mù",0.0023242816230486323
Cam_nang_du_lich_Vinh_Ha_Long.txt,2322,809,"vịnh, hang, tàu, và, hạ_long, có, các, là, trên, hòn","vịnh, hạ_long, hang, tàu, hòn",0.00301519525190839
Cam_nang_du_lich_Vinh_Lan_Ha.txt,2168,694,"vịnh, lan, hạ, cát, là, các, có, và, trên, đảo","vịnh, lan, hạ, cát, hang",0.0028499641135768116
Cam_nang_du_lich_Vinh_Long.txt,3139,1058,"long, và, là, có, vĩnh, từ, với, đến, một, của","vĩnh, long, vĩnh_long, là, và",0.003919229118900261
Cam_nang_du_lich_Vinh_Phuc.txt,1609,717,"vĩnh, phúc, là, tam_đảo, hồ, du_lịch, đến, đẹp, ở, những","vĩnh, tam_đảo, phúc, thiền, lải",0.0032441547996838243
Cam_nang_du_lich_Vung_Tau.txt,3497,1183,"vũng_tàu, là, ở, được, biển, và, có, từ, đến, bãi","vũng_tàu, là, window, biển, bãi",0.003966790951596902
Cam_nang_du_lich_Vuon_quoc_gia_Bach_Ma.txt,2147,729,"bạch, mã, vườn, và, có, quốc_gia, được, đến, du_khách, một","mã, bạch, đỗ_quyên, vườn, thác",0.00282290440219988
Cam_nang_du_lich_Vuon_quoc_gia_Cat_Tien.txt,1890,688,"vườn, cát, các, và, tiên, 000, đồng, quốc_gia, du_khách, có","vườn, cát, tiên, 000, quốc_gia",0.003096282739809309
Cam_nang_du_lich_Vuon_quoc_gia_Cuc_Phuong.txt,2699,874,"cúc, phương, và, vườn, các, là, có, du_khách, đến, một","cúc, phương, vườn, và, quốc_gia",0.002960775400402766
"Cam_nang_du_lich_vuon_quoc_gia_Pu_Mat,_Nghe_An.txt",1577,623,"mát, pù, đến, vườn, và, từ, rừng, quốc_gia, trong, sông","pù, cuông, giăng, mát, nghệ_an",0.0028495251995437213
Cam_nang_du_lich_Vuon_quoc_gia_Pu_Mat.txt,1843,744,"mát, và, pù, trong, vườn, con, được, có, du_khách, rừng","pù, mát, vqg, nghệ_an, giăng",0.0031192967498958435
Cam_nang_du_lich_Yen_Bai.txt,3089,1008,"và, yên, các, ở, đến, là, bái, mù, cang, chải","mù, cang, chải, bái, tấu",0.003509635187840648
Cam_nang_du_lich_Y_Ty.txt,1765,730,"tý, y, ở, du_khách, và, xem, lào, cai, là, trong","tý, cai, lào, xát, thầu",0.0029498033062548825
CANGIO_-_Khu_Du_Tru_Sinh_Quyen_Rung_Ngap_Man_Can_Gio.txt,1197,488,"rừng, cần, giờ, và, các, loài, khu, huyện, của, có","phòng_hộ, rừng, giờ, cần, loài",0.002434256600247722
